i,Jsm,Jc,R
517.976764359705,1360903438867.69,5254801323.50804,258.982853029954
518.401467333081,1361086973464.09,5258045705.71753,258.857957811979
518.826402424996,1361270418116.85,5261291259.39295,258.733141923398
519.251569692704,1361453772813.87,5264537984.64855,258.608405292901
519.676969193326,1361637037543.01,5267785881.59855,258.48374784926
520.102600984184,1361820212292.17,5271034950.35718,258.359169521328
520.528465122296,1362003297049.25,5274285191.03862,258.234670238043
520.954561664957,1362186291802.15,5277536603.75715,258.110249928421
521.380890669243,1362369196538.77,5280789188.62693,257.985908521563
521.807452192253,1362552011247.03,5284042945.76219,257.861645946651
522.234246291351,1362734735914.84,5287297875.27714,257.737462132945
522.661273023437,1362917370530.13,5290553977.286,257.613357009788
523.088532445832,1363099915080.84,5293811251.90299,257.489330506607
523.516024615605,1363282369554.9,5297069699.2423,257.365382552906
523.943749589886,1363464733940.25,5300329319.41813,257.241513078273
524.371707425823,1363647008224.84,5303590112.54471,257.117722012373
524.799898180444,1363829192396.63,5306852078.7362,256.994009284958
525.228321910996,1364011286443.58,5310115218.10687,256.870374825853
525.656978674557,1364193290353.65,5313379530.77084,256.74681856497
526.085868528169,1364375204114.81,5316645016.84237,256.623340432297
526.514991529029,1364557027715.06,5319911676.43562,256.499940357905
526.944347734103,1364738761142.36,5323179509.66481,256.376618271942
527.373937200578,1364920404384.72,5326448516.64414,256.25337410464
527.803759985572,1365101957430.12,5329718697.48777,256.130207786309
528.233816146029,1365283420266.57,5332990052.30993,256.007119247337
528.664105739213,1365464792882.08,5336262581.22482,255.884108418194
529.094628822118,1365646075264.67,5339536284.34659,255.76117522943
529.525385451749,1365827267402.35,5342811161.78946,255.638319611673
529.956375685206,1366008369283.15,5346087213.6676,255.515541495631
530.387599579525,1366189380895.1,5349364440.09522,255.392840812091
530.819057191769,1366370302226.24,5352642841.18651,255.270217491919
531.250748579082,1366551133264.62,5355922417.05566,255.147671466059
531.682673798354,1366731873998.28,5359203167.81681,255.02520266554
532.114832906713,1366912524415.29,5362485093.58422,254.902811021459
532.547225961175,1367093084503.7,5365768194.47202,254.780496465002
532.979853018785,1367273554251.58,5369052470.59442,254.658258927428
533.41271413652,1367453933647.01,5372337922.0656,254.536098340077
533.845809371482,1367634222678.07,5375624548.99977,254.414014634363
534.279138780596,1367814421332.83,5378912351.51107,254.292007741785
534.712702420901,1367994529599.41,5382201329.71371,254.170077593915
535.146500349412,1368174547465.88,5385491483.72186,254.048224122406
535.580532623128,1368354474920.36,5388782813.64974,253.926447258987
536.014799299063,1368534311950.96,5392075319.6115,253.804746935465
536.44930043413,1368714058545.8,5395369001.72132,253.683123083727
536.884036085412,1368893714692.98,5398663860.09342,253.561575635734
537.319006309908,1369073280380.65,5401959894.84194,253.440104523529
