i,DeltaG_kBT_single_S_1p29,DeltaG_kBT_single_S_1p39,DeltaG_kBT_single_S_1p59
1.60472871009922,0.86642572812729,0.821344605887643,0.740174725047365
1.60718921733235,0.869742418808183,0.824477591336963,0.742976943847239
1.60965375706073,0.873063121264268,0.827614287489214,0.745782331260622
1.61212233639949,0.876387841052547,0.830754699370175,0.748590891356805
1.61459496247784,0.879716583738634,0.833898832013177,0.751402628210736
1.61707164243789,0.883049354897275,0.83704669045973,0.75421754590381
1.61955238343595,0.886386160111925,0.840198279758984,0.757035648523155
1.6220371926413,0.889727004974993,0.843353604968082,0.759856940162142
1.62452607723771,0.893071895087689,0.84651267115188,0.76268142491991
1.62701904442205,0.896420836060289,0.849675483383327,0.765509106901935
1.62951610140534,0.899773833511792,0.852842046743034,0.768339990219447
1.63201725541238,0.903130893070228,0.856012366319618,0.77117407898983
1.63452251368056,0.906492020372878,0.859186447210004,0.774011377337086
1.63703188346332,0.909857221065476,0.862364294518375,0.776851889390316
1.63954537202572,0.913226500803198,0.865545913357483,0.779695619285627
1.64206298664852,0.916599865249861,0.868731308847558,0.782542571164495
1.64458473462519,0.91997732007861,0.871920486117198,0.785392749175057
1.64711062326305,0.923358870971679,0.875113450303064,0.788246157471643
1.64964065988447,0.926744523619957,0.878310206549346,0.791102800214102
1.65217485182516,0.930134283723717,0.88151076000862,0.793962681568863
1.65471320643475,0.933528156992338,0.88471511584153,0.796825805708562
1.65725573107692,0.936926149144184,0.887923279216659,0.799692176811878
1.65980243312972,0.940328265906799,0.891135255310693,0.802561799063664
1.66235331998504,0.94373451301695,0.89435104930851,0.805434676655102
1.66490839904906,0.94714489622038,0.897570666402893,0.808310813783363
1.66746767774208,0.950559421272152,0.900794111794899,0.811190214651992
1.67003116349869,0.953978093936455,0.904021390693636,0.814072883470661
1.67259886376764,0.957400919986756,0.907252508316437,0.816958824455365
1.67517078601176,0.960827905205651,0.91048746988871,0.819848041828285
1.67774693770856,0.964259055385017,0.913726280644052,0.82274053981781
1.6803273263493,0.96769437632609,0.91696894582439,0.825636322658818
1.6829119594402,0.971133873839258,0.920215470679684,0.828535394592204
1.68550084450137,0.974577553744199,0.923465860468151,0.831437759865256
1.68809398906773,0.978025421869957,0.926720120456265,0.834343422731526
1.69069140068837,0.981477484054915,0.929978255918783,0.837252387450945
1.69329308692656,0.984933746146785,0.933240272138733,0.840164658289809
1.69589905536111,0.988394214002492,0.936506174407193,0.843080239520373
1.69850931358383,0.991858893488712,0.939775968024023,0.845999135421931
1.70112386920248,0.995327790481058,0.943049658296828,0.84892135027937
1.70374272983878,0.998800910864829,0.946327250541861,0.851846888384357
1.70636590312865,1.00227826053484,0.949608750083824,0.854775754035096
1.70899339672378,1.00575984539497,0.952894162255307,0.857707951535553
1.71162521828946,1.00924567135893,0.956183492397733,0.860643485196709
1.71426137550606,1.01273574434981,0.959476745860747,0.863582359335734
1.71690187606885,1.01623007030019,0.962773928002385,0.866524578276185
1.71954672768789,1.01972865515199,0.966075044188946,0.869470146347896
1.72219593808777,1.02323150485691,0.969380099795377,0.872419067887396
1.72484951500789,1.02673862537613,0.972689100205034,0.875371347237633
1.7275074662027,1.03025002268041,0.976002050809718,0.878326988747971
1.73016979944153,1.03376570274996,0.979318957009567,0.881285996774118
1.73283652250873,1.0372856715747,0.982639824213307,0.884248375678347
1.73550764320322,1.04080993515427,0.985964657838293,0.887214129829602
1.73818316933932,1.04433849949767,0.989293463310112,0.890183263602989
1.74086310874606,1.04787137062384,0.992626246063166,0.893155781380451
1.74354746926743,1.05140855456134,0.99596301154038,0.896131687550445
1.74623625876318,1.05495005734816,0.999303765192909,0.899110986507535
1.74892948510744,1.0584958850323,1.00264851248087,0.902093682653313
1.75162715618979,1.06204604367136,1.0059972588728,0.905079780395732
1.75432927991464,1.0656005393328,1.00935000984602,0.908069284149506
1.7570358642019,1.06915937809368,1.01270677088627,0.911062198335705
1.75974691698734,1.07272256604076,1.01606754748781,0.914058527381787
1.76246244622066,1.07629010927096,1.01943234515403,0.917058275722451
1.76518245986797,1.07986201389058,1.02280116939648,0.920061447798364
1.76790696590984,1.08343828601615,1.02617402573582,0.923068048057364
1.77063597234311,1.08701893177374,1.02955091970108,0.926078080953449
1.77336948717909,1.09060395729956,1.03293185683034,0.929091550947744
1.77610751844547,1.09419336873936,1.03631684266997,0.932108462507457
1.77885007418444,1.09778717224914,1.03970588277555,0.935128820107054
